"","...1","followup_fallstudyhours","followup_getwritinghelp","followup_metwithinstructor","followup_metwithfreetutor","followup_imptodowellatuoft","followup_depressed","followup_stressed","fathers_education","mothers_education","fall_meangrade_year1","exp_gradschl","agreeableness2","agreeableness","extraversion2","extraversion","study_habit"
"195",556,15,3,0,0,7,1,3,6,7,62,1,-1.09597039222717,0,1.72296380996704,1,3
"196",559,4,6,1,0,5,1,2,6,6,63.5,0,-1.48138189315796,0,-0.0346913151443005,0,7
"197",560,2,4,1,0,7,1,2,2,6,68.25,1,-1.09597039222717,0,0.924029648303986,1,5
"198",561,10,1,0,0,2,0,2,7,7,61,0,1.02379238605499,1,1.56317687034607,1,1
"199",569,10,3,0,0,5,2,2,4,6,80,1,-0.517853319644928,0,-0.194478139281273,0,3
"200",572,18,2,0,0,7,2,3,6,6,78,1,1.40920376777649,1,0.764242827892303,1,2
"201",574,33,3,5,2,7,1,2,7,6,91.6666641235352,1,0.638380944728851,1,0.284882336854935,1,10
"202",575,4,4,0,1,7,2,2,4,2,47.3333320617676,1,-0.517853319644928,0,0.125095501542091,1,5
"203",576,9,4,2,2,6,2,2,6,6,73,1,-0.517853319644928,0,-0.194478139281273,0,8
"204",578,2,1,0,0,7,3,3,1,2,52.2000007629395,0,-1.28867614269257,0,0.284882336854935,1,1
"205",579,3,4,2,8,6,3,3,0,0,75,1,1.40920376777649,1,-0.0346913151443005,0,14
"206",580,3,4,8,8,3,1,2,6,7,79.5,1,-1.48138189315796,0,0.604456007480621,1,20
"207",585,6,4,2,1,7,1,1,4,4,76.5,0,-0.517853319644928,0,-0.354264974594116,0,7
"208",586,10,2,0,0,5,0,1,6,2,71,1,-0.903264701366425,0,0.604456007480621,1,2
"209",600,25,4,2,5,7,1,0,0,5,70.5,1,1.02379238605499,1,-0.354264974594116,0,11
"210",601,3,3,2,5,6,2,1,5,7,85,1,1.98732089996338,1,0.764242827892303,1,10
"211",603,4,2,0,0,5,2,2,8,7,53,0,-0.517853319644928,0,-0.354264974594116,0,2
"212",604,4,6,5,1,7,2,3,5,6,82,1,-0.517853319644928,0,1.08381640911102,1,12
"213",607,4,5,2,2,4,3,2,5,6,60.75,0,-1.09597039222717,0,1.08381640911102,1,9
"214",615,15,4,1,0,7,1,2,3,2,60.5,1,-1.86679327487946,0,0.764242827892303,1,5
"215",618,10,4,2,2,6,1,2,2,2,68,0,1.02379238605499,1,0.125095501542091,1,8
"216",619,10,5,0,0,7,0,1,3,2,33,1,1.21649813652039,1,-0.194478139281273,0,5
"217",620,41,6,5,8,7,3,3,0,0,83.5,0,1.40920376777649,1,0.764242827892303,1,19
"218",622,8,5,1,0,6,1,2,6,6,49.5,1,-1.09597039222717,0,0.764242827892303,1,6
"219",623,6,4,2,2,7,3,3,8,8,78.3333358764648,1,1.21649813652039,1,1.72296380996704,1,8
"220",625,9,2,1,0,6,1,2,2,2,69.25,0,-0.517853319644928,0,1.40339004993439,1,3
"221",626,4,5,2,2,7,3,3,5,5,65.75,1,-1.48138189315796,0,0.924029648303986,1,9
"222",627,3,4,1,5,4,2,0,0,0,49.6666679382324,0,-1.28867614269257,0,0.125095501542091,1,10
"223",629,6,5,2,1,6,1,1,6,5,74.5,1,0.638380944728851,1,0.125095501542091,1,8
"224",640,6,4,2,2,7,3,3,6,7,63.5,1,0.831086695194244,1,0.125095501542091,1,8
"225",641,2,3,1,1,6,2,3,5,5,77,1,-0.710559010505676,0,-0.354264974594116,0,5
"226",647,7,2,1,0,7,2,2,7,2,87.5,0,-1.67408752441406,0,0.604456007480621,1,3
"227",649,3,4,0,0,4,2,2,3,3,77,0,-0.903264701366425,0,0.604456007480621,1,4
